;уникальный номер;пол;age;raion;fio
51531;101421897;0;70;30;Мамыкина Елена Тимуровна
51532;101439534;0;58;2;Буланова Элина Максимовна
51533;101403165;0;64;46;Батулина Олеся Владиславовна
51535;101381682;0;73;124;Устименко Карина Ярославовна
51536;101443192;0;76;137;Паутова Эльмира Кирилловна
51537;101361181;0;72;13;Камчадалова Дарья Вячеславовна
51538;101403117;0;60;64;Микитенко Евгения Дмитриевна
51539;101370515;0;73;58;Снегурова Оксана Васильевна
51540;101450928;0;63;113;Шипчинская Алена Михаиловна
51541;101418003;0;75;101;Сохраннова Инна Антоновна
51543;101420448;0;59;89;Лебединская Оксана Михаиловна
51544;101395060;0;70;31;Айсуакова Инна Вячеславовна
51545;101396076;0;63;92;Лабунец Татьяна Леонидовна
51546;101384149;0;63;73;Паринкина Кристина Максимовна
51547;101377239;0;65;99;Тимошина Инна Степановна
51548;101372005;0;67;94;Акулина Инна Григорьевна
51549;101410339;0;60;64;Тащиева Гульнара Романовна
51550;101442120;0;69;125;Левышева Людмила Артуровна
51551;101367189;0;76;137;Матина Антонина Владиславовна
51554;101422424;0;56;109;Птичкина Элина Ивановна
51555;101437819;0;86;131;Славик Любовь Робертовна
51556;101426284;0;65;51;Мазанькова Галина Владиславовна
51557;101407476;0;81;22;Чернопятова Виктория Ефимовна
51559;101433387;0;62;117;Бронина Елизавета Анатольевна
51560;101410631;0;70;15;Сумороковская Эльвира Глебовна
51561;101434826;0;65;33;Головко Полина Маратовна
51563;101358393;0;71;7;Терихова Римма Яковлевна
51564;101441814;0;76;59;Чистова Альбина Константиновна
51565;101414574;0;72;111;Ботяновская Эльвира Витальевна
51566;101396525;0;61;55;Дулова Елена Андреевна
51567;101394584;0;72;32;Шведерская Александра Владиславовна
51568;101358945;0;76;43;Октябрьская Елена Николаевна
51569;101395889;0;82;9;Мотова Тамара Руслановна
51570;101373896;0;63;134;Хорошковская Екатерина Германовна
51572;101397416;0;57;32;Симакова Екатерина Олеговна
51573;101436187;0;68;73;Шулепникова Олеся Ринатовна
51574;101423458;0;63;49;Грибанина Валентина Эдуардовна
51576;101348587;0;76;64;Самопялова Карина Анатольевна
51577;101417219;0;68;32;Таничева Жанна Олеговна
51578;101393352;0;68;53;Кочергова Валерия Ильдаровна
51579;101402151;0;59;81;Оречкина Ангелина Андреевна
51580;101430888;0;63;45;Адибекова Маргарита Олеговна
51581;101365602;0;70;3;Павлуцкая Александра Юрьевна
51582;101387430;0;67;8;Ивашенцова Виктория Артемовна
51583;101444144;0;64;42;Варакосова Полина Максимовна
51584;101439971;0;65;53;Конская Яна Викторовна
51585;101433931;0;71;103;Тишенина Римма Леонидовна
51586;101352882;0;73;111;Колтышева Яна Владимировна
51588;101447385;0;69;73;Марьясова Наталья Ярославовна
51589;101417601;0;58;100;Задерихина Екатерина Германовна
51590;101363949;0;64;98;Донских Римма Андреевна
51591;101447797;0;69;4;Мануильская Галина Радиковна
51592;101382914;0;61;13;Алоева Ксения Евгеньевна
51594;101373511;0;64;47;Пожарская Любовь Дмитриевна
51595;101373880;0;61;90;Покаржевская Диана Владиславовна
51596;101362485;0;63;22;Чурило Кристина Александровна
51597;101370217;0;65;12;Гусманова Лилия Константиновна
51598;101349107;0;65;77;Луканченкова Анастасия Витальевна
51599;101354806;0;67;79;Сасина Олеся Степановна
51600;101349698;0;76;28;Федотихина Антонина Артуровна
51602;101362458;0;77;133;Рыбальченко Яна Васильевна
51604;101446420;0;61;81;Желонкина Эльмира Тимофеевна
51605;101417829;0;74;89;Залилова Наталья Ильинична
51606;101374089;0;63;130;Сараева Альбина Павловна
51607;101383572;0;82;98;Заковская Алла Даниловна
51608;101368743;0;77;125;Алдошина Анжелика Семеновна
51609;101418184;0;62;75;Печникова Эльвира Ринатовна
51610;101350371;0;74;22;Прокушева Александра Денисовна
51611;101384395;0;75;50;Усеинова Светлана Ильинична
51612;101357800;0;66;36;Агапкина Карина Викторовна
51613;101413831;0;72;45;Степановская Анастасия Яновна
51614;101375646;0;81;40;Вялых Валерия Михаиловна
51615;101409122;0;64;105;Маркехина Эльмира Кирилловна
51616;101403614;0;82;87;Елихина Алина Яковлевна
51617;101405121;0;66;99;Резванова Татьяна Валентиновна
51619;101440251;0;62;117;Коргуева Лидия Рамилевна
51620;101357105;0;81;32;Учеватова Яна Робертовна
51622;101402659;0;61;102;Яскина Лилия Сергеевна
51623;101403200;0;71;19;Евлашкина Антонина Рамилевна
51624;101381240;0;65;130;Качко Кристина Романовна
51625;101412647;0;64;56;Охлопкова Людмила Яновна
51626;101371206;0;86;0;Давыдкова Людмила Станиславовна
51627;101354013;0;63;130;Синельщикова Алла Станиславовна
51628;101364507;0;71;76;Писчикова Ольга Артуровна
51629;101434767;0;64;9;Ундольская Инна Альбертовна
51630;101361869;0;65;63;Канивец Инна Геннадьевна
51631;101406740;0;58;80;Чарушникова Валентина Радиковна
51632;101432455;0;57;85;Стеблова Антонина Ивановна
51633;101408256;0;58;55;Китченко Галина Кирилловна
51634;101379111;0;83;71;Малышко Вероника Ивановна
51635;101418964;0;63;73;Вязгина Ольга Ильинична
51636;101360185;0;82;1;Хайретдинова Надежда Николаевна
51638;101370933;0;65;113;Веденичева Алена Константиновна
51639;101444369;0;63;89;Курчавова Ксения Даниловна
51640;101422902;0;74;36;Жданова Валерия Артемовна
51642;101410720;0;70;137;Беда Марина Филипповна
51643;101373562;0;63;137;Пещерова Валентина Валерьевна
51645;101354847;0;73;69;Легкова Юлия Витальевна
51646;101427047;0;58;73;Чеглова Мария Ильдаровна
51647;101419677;0;79;116;Безушкина Ксения Яновна
51648;101379125;0;75;56;Альбеткова Наталья Ильдаровна
51649;101394595;0;72;73;Недоступкина Тамара Маратовна
51650;101351398;0;73;31;Каргопольцева Юлия Олеговна
51651;101399997;0;65;4;Стародворская Жанна Станиславовна
51652;101351556;0;67;83;Константинова Алина Юрьевна
51654;101403923;0;66;60;Хрипина Оксана Ивановна
51655;101442475;0;71;81;Яшкина Карина Романовна
51657;101385785;0;65;76;Татлина Римма Кирилловна
51658;101447617;0;57;133;Белевская Анастасия Альбертовна
51659;101399967;0;69;24;Красноусова Альбина Валерьевна
51660;101407652;0;73;65;Сухирина Виктория Ефимовна
51661;101376717;0;75;94;Гранатова Кира Рамилевна
51662;101381989;0;74;76;Староверова Ольга Анатольевна
51663;101406974;0;60;64;Струтинская Валерия Алексеевна
51664;101417658;0;71;3;Половинщикова Галина Егоровна
51665;101347899;0;83;64;Мусинова Алина Тимуровна
51666;101382486;0;68;7;Подосенкова Виктория Леонидовна
51667;101358604;0;65;70;Довженко Екатерина Вадимовна
51668;101391005;0;66;14;Клишева Валерия Яковлевна
51669;101405276;0;63;76;Беленцова Наталья Юрьевна
51670;101434775;0;68;49;Грубякова Эльвира Степановна
51671;101377218;0;65;53;Звездочкина Галина Ильдаровна
51673;101404935;0;59;111;Бурмина Римма Михаиловна
51674;101371706;0;68;20;Ярушкова Антонина Робертовна
51675;101404694;0;66;41;Батурина Ирина Павловна
51676;101432829;0;61;102;Анкаева Галина Станиславовна
51677;101426694;0;69;79;Погожева Альбина Олеговна
51678;101405953;0;71;6;Бикбаева Карина Ефимовна
51679;101411627;0;74;49;Граубина Людмила Тимуровна
51680;101386914;0;60;13;Коленко Галина Владиславовна
51681;101372253;0;73;70;Аливердиева Надежда Альбертовна
51682;101360509;0;75;80;Горанова Раиса Леонидовна
51683;101378255;0;63;98;Краснослободцева Наталья Геннадьевна
51684;101385760;0;79;90;Галибина Кристина Артемовна
51685;101370725;0;74;67;Кодина Алла Денисовна
51686;101373243;0;73;90;Татаркина Анна Дмитриевна
51687;101353944;0;72;137;Елякова Лилия Леонидовна
51689;101449220;0;64;61;Резванова Тамара Яковлевна
51692;101401473;0;64;113;Слотина Лариса Васильевна
51693;101378996;0;78;80;Здравомыслова Гульнара Артуровна
51694;101371792;0;67;110;Маслюк Светлана Артуровна
51696;101351390;0;62;110;Зашихина Алена Григорьевна
51697;101406156;0;76;114;Шамшурина Татьяна Олеговна
51698;101369416;0;74;90;Шафоростова Альбина Игоревна
51699;101353124;0;73;130;Надеева Алиса Юрьевна
51700;101415499;0;64;0;Душко Ирина Антоновна
51701;101443764;0;76;91;Колбасова Диана Кирилловна
51702;101388784;0;61;121;Нахабцева Елена Даниловна
51703;101385837;0;63;117;Бредова Мария Тимуровна
51704;101366759;0;70;74;Шебанова Виктория Семеновна
51706;101398827;0;68;60;Стеняева Оксана Романовна
51708;101394096;0;77;90;Корниенкова Лариса Марселевна
51709;101364447;0;75;86;Погорелова Дарья Ярославовна
51710;101360821;0;62;47;Мерклина Диана Геннадьевна
51711;101420974;0;71;5;Кунина Елена Вячеславовна
51712;101405414;0;60;102;Писклова Марина Маратовна
51713;101346644;0;58;47;Васищева Элина Андреевна
51714;101433848;0;74;94;Грошева Ксения Яковлевна
51715;101368884;0;75;58;Романушкина Кристина Витальевна
51716;101363180;0;75;4;Колеватова Марина Радиковна
51717;101418386;0;63;0;Буднева Марина Васильевна
51718;101423012;0;60;60;Асмаева Анастасия Егоровна
51719;101428069;0;63;84;Паршикова Елизавета Радиковна
51720;101371611;0;77;25;Ермилина Валентина Маратовна
51721;101421062;0;60;116;Алисейко Надежда Евгеньевна
51722;101408899;0;65;117;Маяковская Наталья Васильевна
51723;101410795;0;55;35;Печуркина Кристина Филипповна
51724;101369050;0;67;73;Тодаева Лариса Максимовна
51725;101347455;0;62;90;Демидкова Юлия Алексеевна
51726;101418787;0;63;68;Двуреченская Любовь Валерьевна
51727;101375403;0;73;60;Шохина Лилия Егоровна
51728;101443013;0;57;35;Черноголовкина Эльвира Леонидовна
51729;101408889;0;68;56;Калиникова Людмила Глебовна
51731;101428631;0;70;125;Евтушенко Мария Германовна
51732;101449274;0;55;125;Тягун Маргарита Геннадьевна
51733;101449451;0;76;73;Федулова Маргарита Никитовна
51734;101359390;0;77;80;Багрина Эльвира Константиновна
51735;101387152;0;68;112;Белогорлова Людмила Александровна
51736;101384248;0;75;112;Модестова Гульнара Валентиновна
51737;101399831;0;65;4;Лисина Людмила Ринатовна
51738;101413871;0;59;71;Балезина Виктория Романовна
51739;101395359;0;65;107;Антошина Лидия Егоровна
51740;101426136;0;68;135;Стручкова Инна Степановна
51741;101432192;0;61;125;Басалгина Лидия Руслановна
51742;101451053;0;69;114;Лерман Алла Руслановна
51743;101418254;0;57;96;Юринская Марина Тимофеевна
51744;101378524;0;82;36;Острова Ирина Сергеевна
51745;101353115;0;62;94;Уманец Полина Романовна
51746;101351828;0;68;83;Спиридошина Алена Станиславовна
51747;101405710;0;67;22;Дуйшеева Алина Аркадьевна
51748;101391216;0;65;131;Жумагалиева Ангелина Васильевна
51749;101352766;0;62;133;Свердликова Маргарита Даниловна
51750;101414510;0;67;61;Кошелева Екатерина Григорьевна
51751;101369520;0;64;85;Залежнева Елена Артемовна
51753;101398310;0;71;111;Инцертова Оксана Андреевна
51754;101423413;0;58;102;Аширбаева Лилия Валерьевна
51756;101432442;0;52;6;Маринкина Ольга Яновна
51757;101377197;0;65;9;Кардополова Юлия Евгеньевна
51758;101384829;0;81;24;Овсюк Эльмира Аркадьевна
51759;101413907;0;64;105;Исламова Татьяна Ивановна
51760;101450137;0;56;60;Маланина Лидия Станиславовна
51762;101440372;0;66;19;Кулик Яна Николаевна
51763;101379110;0;69;134;Авраменко Кира Семеновна
51765;101401734;0;67;8;Ганкина Анжелика Дмитриевна
51766;101388776;0;71;25;Вологдина Тамара Ивановна
51767;101396233;0;73;89;Аболимова Тамара Борисовна
51768;101402746;0;61;29;Ахряпова Альбина Ринатовна
51769;101435834;0;69;3;Бекбамбетова Инна Глебовна
51771;101362091;0;68;83;Синюк Римма Васильевна
51772;101378934;0;74;83;Баканина Лидия Владимировна
51773;101347477;0;73;125;Голенко Ангелина Федоровна
51774;101412722;0;58;91;Блонская Елизавета Юрьевна
51776;101394087;0;64;36;Гоман Евгения Рамилевна
51777;101359785;0;65;73;Ферапонтьева Тамара Викторовна
51778;101426390;0;58;43;Узких Валентина Павловна
51779;101412628;0;73;72;Зенкина Альбина Владиславовна
51780;101449437;0;62;15;Плешакова Жанна Антоновна
51781;101358342;0;74;25;Кабирова Светлана Никитовна
51782;101419037;0;60;76;Дубоносова Ольга Радиковна
51783;101430640;0;68;125;Днишева Кира Константиновна
51784;101408497;0;71;58;Ронина Валентина Филипповна
51785;101424186;0;78;125;Агольцова Карина Валерьевна
51786;101405211;0;74;99;Кривых Ангелина Евгеньевна
51787;101354329;0;71;79;Торопцева Диана Дмитриевна
51788;101403535;0;60;87;Судникова Екатерина Ринатовна
51789;101365092;0;80;86;Польшина Валентина Робертовна
51791;101369830;0;60;76;Февронина Анастасия Тимуровна
51792;101391629;0;65;118;Отакулова Анна Анатольевна
51793;101348885;0;83;56;Бушмелева Диана Васильевна
51794;101374598;0;71;29;Документова Маргарита Тимуровна
51795;101390441;0;69;53;Калиновская Ирина Константиновна
51796;101349522;0;60;8;Роденко Мария Аркадьевна
51797;101372307;0;73;21;Чебакова Любовь Михаиловна
51799;101415601;0;71;103;Тюлюкина Лилия Робертовна
51800;101415976;0;63;81;Таймазова Кира Глебовна
51801;101366310;0;86;31;Летохова Алина Витальевна
51802;101383811;0;60;117;Буятова Любовь Ринатовна
51804;101416405;0;64;135;Тиханина Жанна Валентиновна
51805;101348540;0;69;23;Жаворонкова Лилия Вячеславовна
51806;101350016;0;63;134;Валикова Полина Анатольевна
51807;101417470;0;70;10;Мамбетова Елизавета Никитовна
51808;101381268;0;84;123;Журик Александра Вадимовна
51809;101423837;0;74;117;Орфанова Лилия Никитовна
51810;101362289;0;60;99;Севрюк Виктория Ринатовна
51811;101436585;0;57;21;Кантонистова Евгения Валерьевна
51812;101377493;0;73;134;Синькевич Анна Борисовна
51813;101363209;0;74;72;Газиева Инна Семеновна
51814;101437501;0;69;117;Плашина Виктория Анатольевна
51815;101389123;0;64;137;Аймалетдинова Анжелика Николаевна
51816;101384164;0;60;58;Скрыль Эльвира Витальевна
51817;101401193;0;76;89;Климец Татьяна Сергеевна
51818;101378035;0;63;20;Винниченко Галина Евгеньевна
51820;101389017;0;76;0;Шатилова Маргарита Владиславовна
51821;101404061;0;87;63;Московец Диана Марселевна
51822;101363654;0;76;28;Суковатых Евгения Яковлевна
51823;101349830;0;67;64;Агишева Екатерина Юрьевна
51824;101411987;0;62;0;Петровская Маргарита Дамировна
51825;101404432;0;66;87;Сташко Светлана Глебовна
51826;101398573;0;68;64;Восленская Алла Никитовна
51827;101434617;0;62;73;Микичук Валентина Тимофеевна
51828;101443568;0;59;86;Стояновская Валентина Глебовна
51829;101398162;0;74;122;Гришагина Екатерина Станиславовна
51830;101379382;0;81;91;Бухарская Маргарита Григорьевна
51831;101400137;0;67;42;Лагно Гульнара Антоновна
51832;101442679;0;56;30;Головенкина Антонина Вячеславовна
51833;101417780;0;60;11;Поспехина Оксана Ильинична
51834;101423963;0;67;96;Тархова Диана Тимуровна
51836;101414666;0;67;110;Вдовина Наталья Валерьевна
51837;101426555;0;67;137;Калинчева Кристина Геннадьевна
51838;101391391;0;65;79;Будникова Ирина Евгеньевна
51839;101416045;0;64;36;Стукова Римма Яковлевна
51840;101388792;0;78;72;Мотина Мария Тимуровна
51841;101439022;0;66;92;Батагова Ксения Михаиловна
51842;101379034;0;60;77;Кирушина Валентина Денисовна
51843;101442823;0;72;133;Рузанова Валентина Вадимовна
51844;101347927;0;73;49;Зиновичева Анжелика Романовна
51845;101422000;0;65;83;Арифулина Вероника Ярославовна
51846;101362160;0;61;0;Запальская Кристина Геннадьевна
51847;101403014;0;77;32;Теленкова Виктория Ильинична
51848;101419032;0;65;32;Оксикбаева Анжелика Аркадьевна
51849;101384298;0;76;74;Дериглазова Елена Юрьевна
51850;101368955;0;63;83;Абасова Анастасия Сергеевна
51851;101352175;0;72;48;Ефремовцева Элина Аркадьевна
51852;101395621;0;65;118;Зенякина Елизавета Даниловна
51853;101376646;0;63;36;Чиндыкова Наталья Алексеевна
51854;101372653;0;73;91;Чурова Яна Дамировна
51855;101417809;0;62;60;Зиничева Ксения Марселевна
51856;101397157;0;77;132;Пензева Яна Михаиловна
51857;101379794;0;66;81;Андрюшечкина Раиса Евгеньевна
51858;101371180;0;67;33;Шутенко Людмила Ивановна
51859;101373321;0;66;60;Майкеева Надежда Вадимовна
51860;101366354;0;73;14;Казанова Евгения Валерьевна
51861;101399594;0;84;80;Кищенко Олеся Викторовна
51862;101390331;0;77;132;Громакова Эльмира Ринатовна
51863;101411180;0;57;75;Иващенко Мария Филипповна
51864;101421718;0;59;24;Вадик Эльмира Александровна
51865;101348790;0;65;73;Лебедкина Дарья Владимировна
51866;101442808;0;67;82;Лишева Надежда Степановна
51867;101364877;0;69;121;Аратовская Людмила Аркадьевна
51869;101412744;0;70;83;Юдовская Эльмира Яковлевна
51870;101405477;0;77;36;Маточкина Лилия Тимофеевна
51871;101387258;0;89;98;Волкогонова Карина Денисовна
51872;101447249;0;56;22;Тимчинко Элина Константиновна
51873;101363594;0;69;9;Нуриахметова Людмила Николаевна
51874;101407224;0;81;79;Атамкулова Евгения Рамилевна
51875;101405393;0;82;0;Грузинская Тамара Романовна
51876;101403416;0;79;73;Сурнина Алина Дамировна
51877;101347848;0;66;132;Коптякова Лариса Романовна
51878;101439047;0;72;96;Бадакова Светлана Ильдаровна
51879;101385792;0;67;50;Юкина Оксана Глебовна
51880;101451002;0;60;89;Шалыгина Элина Борисовна
51881;101448090;0;71;105;Истефеева Татьяна Константиновна
51882;101411773;0;65;18;Варлахина Тамара Робертовна
51883;101428005;0;62;108;Разбежкина Анастасия Владиславовна
51884;101410951;0;69;80;Стоян Лариса Станиславовна
51885;101417476;0;63;88;Позгалева Алена Артемовна
51886;101356847;0;76;7;Феофилатова Эльвира Тимофеевна
51889;101350509;0;66;69;Фурдуева Марина Степановна
51890;101409380;0;61;13;Щепликова Оксана Робертовна
51891;101415024;0;84;100;Панова Яна Антоновна
51893;101375222;0;76;129;Лещина Людмила Маратовна
51894;101357052;0;73;67;Устинова Елизавета Ярославовна
51895;101423168;0;62;81;Коркмазова Любовь Ильдаровна
51896;101429447;0;74;83;Зобнина Олеся Артемовна
51898;101352589;0;73;91;Нагурская Юлия Александровна
51899;101357642;0;66;98;Чусовитина Дарья Витальевна
51900;101424387;0;58;99;Батдыева Ангелина Юрьевна
51901;101389357;0;65;133;Големова Анна Максимовна
51902;101353659;0;78;84;Обрядкова Валентина Артемовна
51903;101360230;0;86;36;Буякина Раиса Рамилевна
51904;101397719;0;59;30;Драгунова Кристина Дамировна
51905;101422650;0;61;18;Пронькина Екатерина Андреевна
51906;101432118;0;66;73;Бессергенева Юлия Ефимовна
51907;101409815;0;72;36;Якушева Алиса Юрьевна
51908;101415242;0;64;77;Артынова Елизавета Робертовна
51909;101448796;0;70;106;Буйновская Екатерина Ивановна
51911;101376784;0;63;106;Венцова Карина Максимовна
51912;101434309;0;59;132;Межина Ангелина Максимовна
51913;101391468;0;69;100;Гавшукова Олеся Ринатовна
51914;101410071;0;77;72;Плоткина Кира Валерьевна
51915;101434037;0;71;65;Яворивская Евгения Степановна
51916;101384609;0;67;44;Гришанович Марина Робертовна
51917;101397558;0;61;49;Сержпутовская Карина Федоровна
51919;101348630;0;63;103;Носачева Альбина Ильдаровна
51920;101347847;0;69;132;Былинская Альбина Геннадьевна
51921;101355519;0;67;121;Мовчан Ангелина Альбертовна
51922;101433384;0;71;124;Кирнасовская Лидия Ильдаровна
51923;101397366;0;60;36;Поликарова Мария Даниловна
51924;101424593;0;72;79;Щигровская Яна Владиславовна
51926;101430510;0;67;9;Боглаева Яна Владиславовна
51927;101435931;0;70;32;Щелкунова Жанна Дамировна
51928;101411951;0;84;106;Ильиных Альбина Олеговна
51929;101357106;0;67;126;Парусникова Антонина Ивановна
51930;101430045;0;58;87;Сусаева Диана Анатольевна
51931;101370024;0;81;53;Корноусова Лариса Николаевна
51932;101347897;0;71;55;Мазыра Лариса Викторовна
51933;101374847;0;64;122;Гатаева Эльвира Анатольевна
51934;101357960;0;82;11;Преженцова Эльмира Аркадьевна
51935;101392784;0;63;44;Лебединская Инна Валентиновна
51936;101385900;0;71;101;Рагулина Жанна Дамировна
51937;101401662;0;68;96;Горбатовская Людмила Алексеевна
51938;101410018;0;81;86;Семикозова Раиса Петровна
51939;101398346;0;78;110;Микитина Лариса Геннадьевна
51940;101439549;0;66;34;Кладиева Римма Егоровна
51941;101448920;0;75;125;Клановская Елена Марселевна
51942;101359191;0;62;103;Ясюнинская Лариса Вадимовна
51943;101421700;0;66;9;Карнаухова Антонина Филипповна
51944;101368031;0;69;79;Виницкая Людмила Артемовна
51945;101377157;0;67;122;Александровская Вероника Тимофеевна
51947;101391442;0;60;73;Толстухина Виктория Леонидовна
51948;101381579;0;67;114;Седельникова Яна Георгиевна
51949;101373853;0;73;32;Пастухова Кира Рамилевна
51950;101387928;0;65;137;Вишня Эльмира Романовна
51951;101356308;0;70;31;Чегломова Елена Ринатовна
51954;101442587;0;66;33;Инихина Алла Маратовна
51955;101382464;0;68;105;Бабыкина Элина Дмитриевна
51956;101419715;0;66;73;Барышова Лариса Павловна
51957;101364725;0;69;133;Пищулина Татьяна Федоровна
51959;101366687;0;69;131;Немыткина Валерия Васильевна
51960;101424701;0;64;114;Ревельская Наталья Руслановна
51961;101417610;0;72;13;Никитенкова Карина Ярославовна
51962;101350316;0;65;56;Гастева Мария Семеновна
51964;101443190;0;57;135;Филиппьева Наталья Федоровна
51966;101400657;0;76;83;Горнова Оксана Яковлевна
51967;101381813;0;59;47;Карнаушенко Ангелина Витальевна
51968;101383740;0;66;117;Ловчикова Анастасия Марселевна
51970;101420211;0;59;102;Изыльметьева Антонина Руслановна
51971;101391204;0;66;36;Туганбаева Кира Владимировна
51972;101448872;0;72;72;Габисова Алина Тимофеевна
51974;101380239;0;71;127;Сулейманова Людмила Яковлевна
51975;101426393;0;64;42;Гавешина Раиса Михаиловна
51976;101447869;0;67;76;Тагиева Карина Яновна
51977;101405907;0;67;69;Флегонтьева Олеся Артуровна
51979;101346811;0;84;116;Танасьева Лилия Романовна
51980;101404224;0;64;112;Дубынина Марина Павловна
51981;101425070;0;57;48;Катревич Карина Германовна
51982;101402293;0;76;99;Намаконова Евгения Кирилловна
51983;101358222;0;74;77;Брендючкова Антонина Владимировна
51984;101437035;0;75;90;Севрук Юлия Владимировна
51985;101376926;0;87;73;Побежимова Полина Радиковна
51986;101442825;0;67;0;Елчева Наталья Михаиловна
51987;101417652;0;76;36;Базанова Раиса Рамилевна
51988;101449796;0;55;86;Пряник Диана Яковлевна
51989;101422277;0;65;0;Голопятина Оксана Никитовна
51990;101407919;0;71;93;Герунова Антонина Дамировна
51991;101408871;0;80;117;Михайлушкина Валерия Олеговна
51992;101360523;0;61;34;Байдакова Евгения Владиславовна
51993;101424157;0;63;99;Скопина Екатерина Игоревна
51994;101410310;0;73;19;Канкошева Оксана Артемовна
51995;101380431;0;69;94;Бугаевская Раиса Анатольевна
51996;101389106;0;88;111;Илютина Ирина Валерьевна
51997;101385978;0;73;50;Зенгер Полина Олеговна
51998;101422600;0;58;73;Мордвинова Алла Руслановна
51999;101447731;0;71;117;Тимашова Александра Павловна
52000;101445362;0;66;1;Дуброва Мария Глебовна
52001;101416885;0;58;129;Тихонравова Любовь Робертовна
52002;101418706;0;58;130;Игина Виктория Глебовна
52003;101378089;0;64;33;Ивочкина Анастасия Ильинична
52004;101389314;0;60;31;Балмашева Алла Никитовна
52005;101396326;0;68;65;Дружкина Людмила Глебовна
52006;101374051;0;60;15;Вертоградская Кристина Ивановна
52007;101435788;0;61;103;Шепилова Гульнара Станиславовна
52008;101405680;0;73;36;Кирпотина Ольга Викторовна
52009;101378084;0;63;33;Зудина Ирина Владиславовна
52010;101398407;0;74;87;Муругова Раиса Федоровна
52011;101439298;0;53;9;Евтюгина Маргарита Никитовна
52012;101394884;0;64;105;Зиничева Ирина Павловна
52013;101394571;0;74;28;Бехова Карина Аркадьевна
52014;101411684;0;60;73;Тарасикова Алла Леонидовна
52015;101368752;0;68;32;Евтюшкина Жанна Геннадьевна
52016;101418214;0;58;13;Солкина Гульнара Маратовна
52017;101427303;0;59;15;Чуйко Полина Юрьевна
52018;101445588;0;58;86;Савваитова Надежда Станиславовна
52019;101423689;0;74;36;Липаева Татьяна Тимофеевна
52020;101356998;0;66;43;Сороко Жанна Даниловна
52021;101346645;0;73;47;Шесткова Любовь Анатольевна
52022;101389067;0;87;33;Самодвигова Светлана Артуровна
52023;101367380;0;67;37;Коротовских Мария Леонидовна
52024;101443587;0;67;117;Подладчикова Кира Станиславовна
52025;101378508;0;68;36;Хабелова Элина Филипповна
52026;101405376;0;65;12;Кантемирова Диана Васильевна
52027;101386038;0;62;91;Заворохина Валерия Ильинична
52028;101387064;0;62;112;Тягунова Раиса Алексеевна
52029;101417566;0;58;36;Смолина Лидия Витальевна
52030;101380101;0;69;89;Кулько Юлия Руслановна
52031;101375930;0;66;32;Охотникова Юлия Федоровна
52032;101352989;0;71;64;Бикмухаметова Анна Ринатовна
52034;101362910;0;86;4;Ивантьева Лариса Романовна
52035;101420455;0;62;8;Заводова Валентина Маратовна
52037;101441497;0;65;61;Коротченко Диана Павловна
52038;101430299;0;61;131;Кычанова Марина Петровна
52039;101373733;0;68;136;Чертова Валерия Тимуровна
52040;101366415;0;65;47;Зеленчук Эльмира Радиковна
52041;101382822;0;67;53;Тананыкина Ксения Ярославовна
52042;101429124;0;60;84;Гудина Ольга Геннадьевна
52043;101383373;0;72;60;Гоголевская Алла Ильдаровна
52044;101440189;0;71;25;Бодрунова Екатерина Филипповна
52046;101398491;0;77;130;Первенцева Лидия Романовна
52047;101420153;0;63;113;Пельменева Анжелика Борисовна
52048;101346966;0;75;7;Лапушкина Алиса Олеговна
52049;101372255;0;68;63;Казыбекова Валерия Марселевна
52050;101432858;0;58;28;Тонина Олеся Сергеевна
52051;101365052;0;62;126;Булекбаева Екатерина Николаевна
52052;101367937;0;61;105;Худанина Гульнара Алексеевна
52053;101406920;0;63;60;Бекорюкова Александра Алексеевна
52054;101362261;0;79;91;Куланова Марина Тимуровна
52055;101416021;0;71;133;Гарелина Карина Ефимовна
52056;101386113;0;81;9;Пилюк Римма Ефимовна
52057;101348350;0;64;22;Тимошкина Тамара Кирилловна
52058;101447833;0;65;1;Гнетова Инна Антоновна
52059;101383820;0;68;99;Лещинская Елизавета Даниловна
52060;101350604;0;74;87;Поддубная Алиса Маратовна
52061;101358959;0;78;89;Жмейда Валерия Максимовна
52062;101349927;0;73;0;Флягина Марина Владимировна
52063;101450951;0;58;70;Лентьева Мария Глебовна
52064;101429026;0;64;76;Выморкова Анжелика Васильевна
52065;101448989;0;78;61;Тиктинская Елена Маратовна
52066;101412349;0;66;111;Никитушкина Виктория Филипповна
52067;101368183;0;74;20;Вадковская Кристина Альбертовна
52068;101373848;0;83;30;Филончик Жанна Вадимовна
52069;101357027;0;70;49;Ботарева Алина Альбертовна
52070;101446236;0;57;20;Сущикова Ирина Робертовна
52071;101400799;0;81;76;Чвирева Жанна Руслановна
52072;101371051;0;62;47;Патрикеева Светлана Петровна
52073;101412661;0;69;106;Флорентьева Элина Артуровна
52074;101389329;0;72;1;Трошко Алина Максимовна
52075;101430627;0;66;58;Столярова Елена Рамилевна
52076;101386703;0;62;88;Калуцкова Ангелина Валентиновна
52077;101443927;0;62;133;Дядина Алина Филипповна
52079;101414791;0;60;108;Поляничкина Альбина Вячеславовна
52081;101450291;0;67;94;Засорина Диана Владиславовна
52082;101387290;0;64;99;Живая Татьяна Радиковна
52083;101445591;0;69;63;Вязмитинова Алена Вадимовна
52084;101429352;0;72;105;Санникова Ирина Владиславовна
